42.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
15:21:56.0 (332828)|USER_INFO|[EXTERNAL]|0051I000000JaV8|amarvick94@gmail.com|Pacific Standard Time|GMT-07:00
15:21:56.0 (377148)|EXECUTION_STARTED
15:21:56.0 (382647)|CODE_UNIT_STARTED|[EXTERNAL]|0661I000003daSA|VF: /apex/Settings
15:21:56.0 (14805044)|SYSTEM_MODE_ENTER|true
15:21:56.0 (15240568)|HEAP_ALLOCATE|[72]|Bytes:3
15:21:56.0 (15286351)|HEAP_ALLOCATE|[77]|Bytes:152
15:21:56.0 (15301248)|HEAP_ALLOCATE|[342]|Bytes:408
15:21:56.0 (15313123)|HEAP_ALLOCATE|[355]|Bytes:408
15:21:56.0 (15323854)|HEAP_ALLOCATE|[467]|Bytes:48
15:21:56.0 (15380530)|HEAP_ALLOCATE|[139]|Bytes:6
15:21:56.0 (15396474)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:240
15:21:56.0 (15415958)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:26
15:21:56.0 (15419894)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:22
15:21:56.0 (15442177)|METHOD_ENTRY|[1]|01p1I00000G8yt3|OpsHR_ContactDriverController.OpsHR_ContactDriverController()
15:21:56.0 (15449746)|STATEMENT_EXECUTE|[1]
15:21:56.0 (15455360)|STATEMENT_EXECUTE|[1]
15:21:56.0 (15484608)|HEAP_ALLOCATE|[50]|Bytes:5
15:21:56.0 (15503839)|HEAP_ALLOCATE|[56]|Bytes:5
15:21:56.0 (15511193)|HEAP_ALLOCATE|[64]|Bytes:7
15:21:56.0 (15531588)|SYSTEM_MODE_ENTER|false
15:21:56.0 (15545816)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
15:21:56.0 (15553460)|SYSTEM_MODE_EXIT|false
15:21:56.0 (15578632)|METHOD_EXIT|[1]|OpsHR_ContactDriverController
15:21:56.0 (15664325)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:36
15:21:56.0 (15681416)|VARIABLE_SCOPE_BEGIN|[11]|this|OpsHR_ContactDriverController|true|false
15:21:56.0 (15749871)|VARIABLE_ASSIGNMENT|[11]|this|{}|0x6fe8798a
15:21:56.0 (15757994)|VARIABLE_SCOPE_BEGIN|[11]|controller|ApexPages.StandardController|true|false
15:21:56.0 (16032728)|VARIABLE_ASSIGNMENT|[11]|controller|"StandardController [null]"|0x999f6d7
15:21:56.0 (16056745)|SYSTEM_MODE_ENTER|false
15:21:56.0 (16064705)|HEAP_ALLOCATE|[5]|Bytes:5
15:21:56.0 (16070051)|STATEMENT_EXECUTE|[1]
15:21:56.0 (16075452)|HEAP_ALLOCATE|[5]|Bytes:5
15:21:56.0 (16078690)|STATEMENT_EXECUTE|[3]
15:21:56.0 (16080342)|STATEMENT_EXECUTE|[4]
15:21:56.0 (16081687)|STATEMENT_EXECUTE|[5]
15:21:56.0 (16107895)|HEAP_ALLOCATE|[5]|Bytes:4
15:21:56.0 (16256974)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
15:21:56.0 (16273193)|VARIABLE_ASSIGNMENT|[5]|this.recordTypes|[]|0x6fe8798a
15:21:56.0 (16279610)|STATEMENT_EXECUTE|[7]
15:21:56.0 (16281327)|STATEMENT_EXECUTE|[8]
15:21:56.0 (16282729)|STATEMENT_EXECUTE|[16]
15:21:56.0 (16284338)|STATEMENT_EXECUTE|[42]
15:21:56.0 (16285752)|STATEMENT_EXECUTE|[73]
15:21:56.0 (16294131)|HEAP_ALLOCATE|[5]|Bytes:6
15:21:56.0 (16330003)|STATEMENT_EXECUTE|[12]
15:21:56.0 (16333526)|SYSTEM_MODE_EXIT|false
15:21:56.0 (17297023)|SYSTEM_MODE_ENTER|true
15:21:56.0 (17346044)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:36
15:21:56.0 (17380184)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"recordTypes":"0x2143bb7"}|0x6fe8798a
15:21:56.0 (17397598)|SYSTEM_MODE_ENTER|false
15:21:56.0 (17404791)|HEAP_ALLOCATE|[75]|Bytes:5
15:21:56.0 (17409687)|STATEMENT_EXECUTE|[74]
15:21:56.0 (17411850)|STATEMENT_EXECUTE|[75]
15:21:56.0 (17424008)|HEAP_ALLOCATE|[75]|Bytes:4
15:21:56.0 (17451174)|VARIABLE_SCOPE_BEGIN|[75]|allQueues|List<System.SelectOption>|true|false
15:21:56.0 (17477490)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
15:21:56.0 (17486934)|VARIABLE_ASSIGNMENT|[75]|allQueues|[]|0x4f41d0b4
