42.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:36:59.0 (299992)|USER_INFO|[EXTERNAL]|0051I000000JaV8|amarvick94@gmail.com|Pacific Standard Time|GMT-07:00
16:36:59.0 (331481)|EXECUTION_STARTED
16:36:59.0 (335841)|CODE_UNIT_STARTED|[EXTERNAL]|0661I000003daSA|VF: /apex/Settings
16:36:59.0 (14276895)|SYSTEM_MODE_ENTER|true
16:36:59.0 (15024429)|HEAP_ALLOCATE|[72]|Bytes:3
16:36:59.0 (15079256)|HEAP_ALLOCATE|[77]|Bytes:152
16:36:59.0 (15092840)|HEAP_ALLOCATE|[342]|Bytes:408
16:36:59.0 (15108079)|HEAP_ALLOCATE|[355]|Bytes:408
16:36:59.0 (15119934)|HEAP_ALLOCATE|[467]|Bytes:48
16:36:59.0 (15173673)|HEAP_ALLOCATE|[139]|Bytes:6
16:36:59.0 (15190010)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:256
16:36:59.0 (15204977)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:26
16:36:59.0 (15208737)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:22
16:36:59.0 (15231664)|METHOD_ENTRY|[1]|01p1I00000G8yt3|OpsHR_UserSettingsController.OpsHR_UserSettingsController()
16:36:59.0 (15238999)|STATEMENT_EXECUTE|[1]
16:36:59.0 (15245005)|STATEMENT_EXECUTE|[1]
16:36:59.0 (15271401)|HEAP_ALLOCATE|[50]|Bytes:5
16:36:59.0 (15288628)|HEAP_ALLOCATE|[56]|Bytes:5
16:36:59.0 (15298306)|HEAP_ALLOCATE|[64]|Bytes:7
16:36:59.0 (15316357)|SYSTEM_MODE_ENTER|false
16:36:59.0 (15326613)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:36:59.0 (15333385)|SYSTEM_MODE_EXIT|false
16:36:59.0 (15356599)|METHOD_EXIT|[1]|OpsHR_UserSettingsController
16:36:59.0 (15433640)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:36
16:36:59.0 (15450153)|VARIABLE_SCOPE_BEGIN|[11]|this|OpsHR_UserSettingsController|true|false
16:36:59.0 (15516835)|VARIABLE_ASSIGNMENT|[11]|this|{}|0x152a8c1b
16:36:59.0 (15525105)|VARIABLE_SCOPE_BEGIN|[11]|controller|ApexPages.StandardController|true|false
16:36:59.0 (15873499)|VARIABLE_ASSIGNMENT|[11]|controller|"StandardController [null]"|0x6a1ae309
16:36:59.0 (15895221)|SYSTEM_MODE_ENTER|false
16:36:59.0 (15902812)|HEAP_ALLOCATE|[5]|Bytes:5
16:36:59.0 (15907819)|STATEMENT_EXECUTE|[1]
16:36:59.0 (15913142)|HEAP_ALLOCATE|[5]|Bytes:5
16:36:59.0 (15916497)|STATEMENT_EXECUTE|[3]
16:36:59.0 (15918325)|STATEMENT_EXECUTE|[4]
16:36:59.0 (15919756)|STATEMENT_EXECUTE|[5]
16:36:59.0 (15942455)|HEAP_ALLOCATE|[5]|Bytes:4
16:36:59.0 (16069699)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:36:59.0 (16084763)|VARIABLE_ASSIGNMENT|[5]|this.recordTypes|[]|0x152a8c1b
16:36:59.0 (16090626)|STATEMENT_EXECUTE|[7]
16:36:59.0 (16092273)|STATEMENT_EXECUTE|[8]
16:36:59.0 (16093711)|STATEMENT_EXECUTE|[14]
16:36:59.0 (16095339)|STATEMENT_EXECUTE|[43]
16:36:59.0 (16096754)|STATEMENT_EXECUTE|[73]
16:36:59.0 (16106036)|HEAP_ALLOCATE|[5]|Bytes:6
16:36:59.0 (16140364)|STATEMENT_EXECUTE|[11]
16:36:59.0 (16143707)|SYSTEM_MODE_EXIT|false
16:36:59.0 (18875592)|SYSTEM_MODE_ENTER|true
16:36:59.0 (18915363)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:164
16:36:59.0 (18923506)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:36:59.0 (18927674)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:36:59.0 (18935053)|METHOD_ENTRY|[1]|01p1I00000G9Bhb|MultiselectController.MultiselectController()
16:36:59.0 (18940574)|STATEMENT_EXECUTE|[1]
16:36:59.0 (18944079)|STATEMENT_EXECUTE|[1]
16:36:59.0 (18952251)|SYSTEM_MODE_ENTER|false
16:36:59.0 (18958579)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:36:59.0 (18964966)|SYSTEM_MODE_EXIT|false
16:36:59.0 (18972109)|METHOD_EXIT|[1]|MultiselectController
16:36:59.0 (18984074)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
16:36:59.0 (18989897)|VARIABLE_SCOPE_BEGIN|[1]|this|MultiselectController|true|false
16:36:59.0 (19026635)|VARIABLE_ASSIGNMENT|[1]|this|{}|0x4225bbf5
16:36:59.0 (19052694)|SYSTEM_MODE_ENTER|false
16:36:59.0 (19060590)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:36:59.0 (19080557)|SYSTEM_MODE_EXIT|false
16:36:59.0 (19085215)|STATEMENT_EXECUTE|[1]
16:36:59.0 (19090909)|SYSTEM_MODE_ENTER|false
16:36:59.0 (19094798)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:36:59.0 (19098606)|STATEMENT_EXECUTE|[3]
16:36:59.0 (19100186)|STATEMENT_EXECUTE|[4]
16:36:59.0 (19101746)|STATEMENT_EXECUTE|[24]
16:36:59.0 (19103718)|STATEMENT_EXECUTE|[32]
16:36:59.0 (19106538)|SYSTEM_MODE_EXIT|false
16:36:59.0 (19385824)|SYSTEM_MODE_ENTER|true
16:36:59.0 (19426485)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:36
16:36:59.0 (19459897)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"recordTypes":"0x7106b4ce"}|0x152a8c1b
16:36:59.0 (19475144)|SYSTEM_MODE_ENTER|false
16:36:59.0 (19481226)|HEAP_ALLOCATE|[45]|Bytes:5
16:36:59.0 (19486074)|STATEMENT_EXECUTE|[44]
16:36:59.0 (19487854)|STATEMENT_EXECUTE|[45]
16:36:59.0 (19499373)|HEAP_ALLOCATE|[45]|Bytes:4
16:36:59.0 (19525173)|VARIABLE_SCOPE_BEGIN|[45]|allQueues|List<System.SelectOption>|true|false
16:36:59.0 (19549172)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:36:59.0 (19559163)|VARIABLE_ASSIGNMENT|[45]|allQueues|[]|0x4a660a85
