42.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
15:59:52.0 (363117)|USER_INFO|[EXTERNAL]|0051I000000JaV8|amarvick94@gmail.com|Pacific Standard Time|GMT-07:00
15:59:52.0 (584535)|EXECUTION_STARTED
15:59:52.0 (590798)|CODE_UNIT_STARTED|[EXTERNAL]|0661I000003daSA|VF: /apex/Settings
15:59:52.0 (1141438)|VF_DESERIALIZE_VIEWSTATE_BEGIN|0661I000003daSA
15:59:52.0 (46860622)|HEAP_ALLOCATE|[72]|Bytes:3
15:59:52.0 (46906522)|HEAP_ALLOCATE|[77]|Bytes:152
15:59:52.0 (46918044)|HEAP_ALLOCATE|[342]|Bytes:408
15:59:52.0 (46929116)|HEAP_ALLOCATE|[355]|Bytes:408
15:59:52.0 (46939908)|HEAP_ALLOCATE|[467]|Bytes:48
15:59:52.0 (46994754)|HEAP_ALLOCATE|[139]|Bytes:6
15:59:52.0 (52771592)|VF_DESERIALIZE_VIEWSTATE_END
15:59:52.0 (59480305)|SYSTEM_MODE_ENTER|true
15:59:52.0 (59688548)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:164
15:59:52.0 (59722930)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
15:59:52.0 (59727562)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
15:59:52.0 (59755273)|METHOD_ENTRY|[1]|01p1I00000G9Bhb|MultiselectController.MultiselectController()
15:59:52.0 (59762516)|STATEMENT_EXECUTE|[1]
15:59:52.0 (59771458)|STATEMENT_EXECUTE|[1]
15:59:52.0 (59813241)|HEAP_ALLOCATE|[50]|Bytes:5
15:59:52.0 (59849736)|HEAP_ALLOCATE|[56]|Bytes:5
15:59:52.0 (59858816)|HEAP_ALLOCATE|[64]|Bytes:7
15:59:52.0 (59887755)|SYSTEM_MODE_ENTER|false
15:59:52.0 (59903167)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
15:59:52.0 (59911276)|SYSTEM_MODE_EXIT|false
15:59:52.0 (59932389)|METHOD_EXIT|[1]|MultiselectController
15:59:52.0 (60098534)|SYSTEM_MODE_ENTER|true
15:59:52.0 (60818603)|SYSTEM_MODE_ENTER|true
15:59:52.0 (61064576)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:236
15:59:52.0 (61075642)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:26
15:59:52.0 (61080359)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:22
15:59:52.0 (61107358)|METHOD_ENTRY|[1]|01p1I00000G8yt3|OpsHR_ContactDriverController.OpsHR_ContactDriverController()
15:59:52.0 (61112859)|STATEMENT_EXECUTE|[1]
15:59:52.0 (61116248)|STATEMENT_EXECUTE|[1]
15:59:52.0 (61125437)|SYSTEM_MODE_ENTER|false
15:59:52.0 (61132185)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
15:59:52.0 (61137544)|SYSTEM_MODE_EXIT|false
15:59:52.0 (61156657)|METHOD_EXIT|[1]|OpsHR_ContactDriverController
15:59:52.0 (61168929)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:36
15:59:52.0 (61375092)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"recordTypes":"0x115d05f7"}|0x24568caf
15:59:52.0 (61393572)|SYSTEM_MODE_ENTER|false
15:59:52.0 (61399900)|HEAP_ALLOCATE|[44]|Bytes:5
15:59:52.0 (61404128)|STATEMENT_EXECUTE|[43]
15:59:52.0 (61405963)|STATEMENT_EXECUTE|[44]
15:59:52.0 (61429525)|HEAP_ALLOCATE|[44]|Bytes:4
15:59:52.0 (61539097)|VARIABLE_SCOPE_BEGIN|[44]|allQueues|List<System.SelectOption>|true|false
15:59:52.0 (61571787)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
15:59:52.0 (61584075)|VARIABLE_ASSIGNMENT|[44]|allQueues|[]|0x66293542
15:59:52.0 (61589752)|STATEMENT_EXECUTE|[45]
15:59:52.0 (61593437)|HEAP_ALLOCATE|[45]|Bytes:34
15:59:52.0 (61612201)|HEAP_ALLOCATE|[45]|Bytes:4
15:59:52.0 (61829021)|SOQL_EXECUTE_BEGIN|[45]|Aggregations:0|SELECT Label FROM OpsHR_Setup__mdt
15:59:52.0 (67051482)|SOQL_EXECUTE_END|[45]|Rows:17
15:59:52.0 (67078871)|HEAP_ALLOCATE|[45]|Bytes:72
15:59:52.0 (67112881)|HEAP_ALLOCATE|[45]|Bytes:714
15:59:52.0 (67183871)|HEAP_ALLOCATE|[45]|Bytes:72
15:59:52.0 (67199527)|VARIABLE_SCOPE_BEGIN|[45]|allMDT|List<OpsHR_Setup__mdt>|true|false
15:59:52.0 (67217180)|VARIABLE_ASSIGNMENT|[45]|allMDT|"List of size 17 too large to display"|0x715bde93
15:59:52.0 (67223849)|STATEMENT_EXECUTE|[47]
15:59:52.0 (67324108)|HEAP_ALLOCATE|[47]|Bytes:553
15:59:52.0 (67391645)|HEAP_ALLOCATE|[47]|Bytes:535
15:59:52.0 (67435535)|HEAP_ALLOCATE|[47]|Bytes:2
15:59:52.0 (67461907)|VARIABLE_SCOPE_BEGIN|[47]|retURL|String|false|false
15:59:52.0 (67474157)|VARIABLE_ASSIGNMENT|[47]|retURL|"0051I000000JaV8"
15:59:52.0 (67478781)|STATEMENT_EXECUTE|[49]
15:59:52.0 (67482263)|HEAP_ALLOCATE|[49]|Bytes:60
15:59:52.0 (67493120)|HEAP_ALLOCATE|[49]|Bytes:4
15:59:52.0 (67500586)|HEAP_ALLOCATE|[49]|Bytes:7
15:59:52.0 (67540556)|HEAP_ALLOCATE|[49]|Bytes:85
15:59:52.0 (67550790)|SYSTEM_METHOD_ENTRY|[1]|UserInfo.UserInfo()
15:59:52.0 (67555112)|STATEMENT_EXECUTE|[1]
15:59:52.0 (67562017)|SYSTEM_METHOD_EXIT|[1]|UserInfo
